user_id,first_name,last_name,email,phone_number,date_of_birth,address,city,state,country,zip_code,username,password,account_created,is_active
8074,Thomas,Moore,zpatterson@example.net,(952)373-0720x41961,1919-07-06,"689 Micheal Estate
Lake Joseph, AZ 67463",Markmouth,Kansas,Mayotte,92061,jonesjames,^56L9nX!dE,1982-09-26 14:53:50,True
7201,Patrick,Cooper,amyperez@example.org,001-770-960-7648,1972-02-17,"228 Barnes Port Apt. 245
Kellyberg, RI 97965",Lake Samanthaside,Arkansas,Peru,36482,crystaljohnson,%T)+0WIp@0,2021-10-29 07:36:29,False
6300,Melissa,Peterson,thomas65@example.org,+1-752-552-0445x794,2004-05-26,"4544 Erin Mountains Apt. 057
Lake Royland, MP 91050",Erictown,Arizona,Marshall Islands,39098,brianallen,vCSV5B2aG#,1989-08-07 05:42:49,True
4773,Nathaniel,Ellis,hensleymichael@example.com,471-388-0023x79000,1941-07-31,"3434 Stacey Mountain
Port Lee, OK 90063",Cobbhaven,Arizona,Philippines,34289,ttrujillo,oc_8foOagO,1978-02-08 16:52:46,True
5743,Heidi,Clarke,stephanie88@example.com,7562859222,1946-06-07,"Unit 2930 Box 1031
DPO AA 83927",West Jasonbury,Virginia,Antarctica (the territory South of 60 deg S),66528,egomez,j9ZJG!%D@2,2018-10-11 05:57:22,False
1464,Darren,Ware,lucassteven@example.org,855.957.5641,2020-09-14,"868 Herrera Radial
Stevenville, ME 46046",Pottsside,Wisconsin,British Indian Ocean Territory (Chagos Archipelago),93537,hernandezthomas,D2D694uz#z,1990-08-27 09:25:32,True
2907,Michael,Rollins,gmonroe@example.com,+1-858-322-8587x888,2006-06-08,"PSC 9052, Box 9075
APO AE 03864",Amandatown,Florida,Puerto Rico,12407,hwhitney,O2M4DheQ)O,1981-05-14 09:44:05,False
1291,Cynthia,Pierce,nicholas33@example.org,405.472.7448,1928-09-17,"9232 Lynn Row
Sheltonborough, MH 52238",New Melissa,Maine,Azerbaijan,54204,qharrington,&5q!JfpN^6,2011-04-20 08:57:39,False
4022,Alex,Thompson,wilsonmarcus@example.com,(518)695-0361x2959,1994-12-17,"26459 Brooks Port
South Teresabury, PA 76091",Cooperberg,Indiana,Moldova,01448,melissalee,#RTc6GmFXb,1983-03-29 06:49:23,False
8269,Samuel,Gonzalez,matthew71@example.com,797-360-0411x444,2023-06-08,"3512 Watkins Road Suite 715
New Michaelland, CT 02326",Port Mistyhaven,Utah,Mexico,76129,martinezvincent,&yR!Hu)t46,2002-04-22 22:32:56,False
